,Date,Hour,AM/PM,Wind_Speed,Rain_Ml,Condition,Only_Hour,Full_Hour
96,2015-01-05,12:00,AM,15.0,0.0,Fair,12,0
97,2015-01-05,1:00,AM,17.0,0.0,Fair,1,1
98,2015-01-05,2:00,AM,11.0,0.0,Fair,2,2
99,2015-01-05,3:00,AM,9.0,0.0,Fair,3,3
100,2015-01-05,4:00,AM,15.0,0.0,Fair,4,4
101,2015-01-05,5:00,AM,17.0,0.0,Partly Cloudy,5,5
102,2015-01-05,6:00,AM,17.0,0.0,Partly Cloudy,6,6
103,2015-01-05,7:00,AM,15.0,0.0,Fair,7,7
104,2015-01-05,8:00,AM,13.0,0.0,Fair,8,8
105,2015-01-05,9:00,AM,15.0,0.0,Fair,9,9
106,2015-01-05,10:00,AM,13.0,0.0,Fair,10,10
107,2015-01-05,11:00,AM,9.0,0.0,Fair,11,11
108,2015-01-05,12:00,PM,13.0,0.0,Fair,12,12
109,2015-01-05,1:00,PM,13.0,0.0,Fair,1,13
110,2015-01-05,2:00,PM,9.0,0.0,Fair,2,14
111,2015-01-05,3:00,PM,11.0,0.0,Fair,3,15
112,2015-01-05,4:00,PM,11.0,0.0,Fair,4,16
113,2015-01-05,5:00,PM,11.0,0.0,Fair,5,17
114,2015-01-05,6:00,PM,11.0,0.0,Fair,6,18
115,2015-01-05,7:00,PM,15.0,0.0,Fair,7,19
116,2015-01-05,8:00,PM,13.0,0.0,Fair,8,20
117,2015-01-05,9:00,PM,13.0,0.0,Fair,9,21
118,2015-01-05,10:00,PM,9.0,0.0,Fair,10,22
119,2015-01-05,11:00,PM,13.0,0.0,Fair,11,23
120,2015-01-06,12:00,AM,22.0,0.0,Fair,12,0
121,2015-01-06,1:00,AM,19.0,0.0,Fair,1,1
122,2015-01-06,2:00,AM,15.0,0.0,Fair,2,2
123,2015-01-06,3:00,AM,15.0,0.0,Fair,3,3
124,2015-01-06,4:00,AM,19.0,0.0,Fair,4,4
125,2015-01-06,5:00,AM,19.0,0.0,Fair,5,5
126,2015-01-06,5:45,AM,22.0,0.0,Thunder,5,5
127,2015-01-06,6:00,AM,20.0,0.0,Thunder,6,6
128,2015-01-06,6:15,AM,24.0,0.0,Light Rain with Thunder,6,6
129,2015-01-06,7:00,AM,28.0,0.0,Light Rain with Thunder,7,7
130,2015-01-06,8:00,AM,19.0,0.0,Mostly Cloudy,8,8
131,2015-01-06,9:00,AM,17.0,0.0,Mostly Cloudy,9,9
132,2015-01-06,10:00,AM,17.0,0.0,Mostly Cloudy,10,10
133,2015-01-06,11:00,AM,11.0,0.0,Mostly Cloudy,11,11
134,2015-01-06,12:00,PM,24.0,0.0,Mostly Cloudy,12,12
135,2015-01-06,12:30,PM,15.0,0.0,Light Rain with Thunder,12,12
136,2015-01-06,1:00,PM,20.0,0.0,Light Rain with Thunder,1,13
137,2015-01-06,2:00,PM,22.0,0.0,Light Rain with Thunder,2,14
138,2015-01-06,3:00,PM,22.0,0.0,Light Rain,3,15
139,2015-01-06,4:00,PM,13.0,0.0,Cloudy,4,16
140,2015-01-06,5:00,PM,17.0,0.0,Cloudy,5,17
141,2015-01-06,6:00,PM,6.0,0.0,Light Rain,6,18
142,2015-01-06,7:00,PM,20.0,0.0,Cloudy,7,19
143,2015-01-06,8:00,PM,17.0,0.0,Light Rain,8,20
144,2015-01-07,12:00,AM,9.0,0.0,Fair,12,0
145,2015-01-07,1:00,AM,7.0,0.0,Fair,1,1
146,2015-01-07,2:00,AM,9.0,0.0,Fair,2,2
147,2015-01-07,3:00,AM,6.0,0.0,Fair,3,3
148,2015-01-07,4:00,AM,19.0,0.0,Cloudy,4,4
149,2015-01-07,5:00,AM,7.0,0.0,Cloudy,5,5
150,2015-01-07,6:00,AM,9.0,0.0,Mostly Cloudy,6,6
151,2015-01-07,7:00,AM,11.0,0.0,Mostly Cloudy,7,7
152,2015-01-07,8:00,AM,11.0,0.0,Mostly Cloudy,8,8
153,2015-01-07,9:00,AM,19.0,0.0,Mostly Cloudy,9,9
154,2015-01-07,10:00,AM,15.0,0.0,Mostly Cloudy,10,10
155,2015-01-07,11:00,AM,15.0,0.0,Mostly Cloudy,11,11
156,2015-01-07,12:00,PM,11.0,0.0,Mostly Cloudy,12,12
157,2015-01-07,1:00,PM,9.0,0.0,Partly Cloudy,1,13
158,2015-01-07,2:00,PM,7.0,0.0,Fair,2,14
159,2015-01-07,3:00,PM,9.0,0.0,Fair,3,15
160,2015-01-07,4:00,PM,7.0,0.0,Fair,4,16
161,2015-01-07,5:00,PM,7.0,0.0,Fair,5,17
162,2015-01-07,6:00,PM,9.0,0.0,Fair,6,18
163,2015-01-07,7:00,PM,7.0,0.0,Fair,7,19
164,2015-01-07,8:00,PM,15.0,0.0,Fair,8,20
165,2015-01-07,9:00,PM,22.0,0.0,Fair,9,21
166,2015-01-07,10:00,PM,19.0,0.0,Fair,10,22
167,2015-01-07,11:00,PM,19.0,0.0,Fair,11,23
168,2015-01-08,12:00,AM,15.0,0.0,Partly Cloudy,12,0
169,2015-01-08,1:00,AM,13.0,0.0,Partly Cloudy,1,1
170,2015-01-08,2:00,AM,9.0,0.0,Fair,2,2
171,2015-01-08,3:00,AM,9.0,0.0,Fair,3,3
172,2015-01-08,4:00,AM,7.0,0.0,Fair,4,4
173,2015-01-08,5:00,AM,6.0,0.0,Fair,5,5
174,2015-01-08,6:00,AM,6.0,0.0,Fair,6,6
175,2015-01-08,7:00,AM,6.0,0.0,Fair,7,7
176,2015-01-08,8:00,AM,6.0,0.0,Fair,8,8
177,2015-01-08,9:00,AM,9.0,0.0,Fair,9,9
178,2015-01-08,10:00,AM,9.0,0.0,Fair,10,10
179,2015-01-08,11:00,AM,9.0,0.0,Fair,11,11
180,2015-01-08,12:00,PM,6.0,0.0,Fair,12,12
181,2015-01-08,1:00,PM,11.0,0.0,Fair,1,13
182,2015-01-08,2:00,PM,9.0,0.0,Fair,2,14
183,2015-01-08,3:00,PM,9.0,0.0,Fair,3,15
